trialnum	subject	session	basicShape	numObjects	speed	initialDirRing0	fixatnPeriodFrames	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	direction0	direction1	direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev0_4	rev0_5	rev0_6	rev0_7	rev0_8	rev1_0	rev1_1	rev1_2	rev1_3	rev1_4	rev1_5	rev1_6	rev1_7	rev1_8	rev2_0	rev2_1	rev2_2	rev2_3	rev2_4	rev2_5	rev2_6	rev2_7	rev2_8	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue
65	a99	b	circle	4	0.5914062500000199	-1	112	0 	 4.287467658222677 	 3 	 3.0	2.0	1.0	0	-1	1	-1	-1.0	-999	-999	2.1029 	2.9479 	3.7864 	4.8316 	-999	-999	-999	-999	-999	2.5804 	3.3913 	4.2723 	5.7125 	-999	-999	-999	-999	-999	2.7806 	4.3966 	5.6838 	-999	-999	-999	-999	-999	-999	1	0	0
66	a99	b	circle	8	0.2914062500000085	1	113	3 	 5.533876267319045 	 2 	 0.0	7.0	1.0	0	1	-1	-1	-0.0	-999	-999	2.0661 	3.5023 	4.8792 	6.6889 	-999	-999	-999	-999	-999	1.8535 	2.7433 	4.2076 	4.91 	6.7105 	-999	-999	-999	-999	2.3807 	4.3632 	5.5097 	7.4385 	-999	-999	-999	-999	-999	3	0	0
67	a99	b	circle	4	0.9914062500000114	1	98	0 	 4.12603322248771 	 2 	 3.0	0.0	1.0	0	1	-1	-1	-2.0	-999	-999	2.259 	3.6487 	5.2111 	-999	-999	-999	-999	-999	-999	2.314 	2.8532 	3.6587 	4.845 	-999	-999	-999	-999	-999	2.7853 	3.7857 	4.7007 	-999	-999	-999	-999	-999	-999	1	0	0
68	a99	b	circle	8	0.3414062500000057	-1	96	3 	 4.731940905271083 	 2 	 0.0	0.0	7.0	0	-1	1	-1	0.0	-999	-999	1.9013 	3.2067 	3.7962 	5.6102 	-999	-999	-999	-999	-999	2.5055 	3.6077 	4.3175 	5.3477 	-999	-999	-999	-999	-999	2.1793 	2.9028 	4.3936 	6.1311 	-999	-999	-999	-999	-999	1	0	0
69	a99	b	circle	4	0.5414062500000227	1	89	3 	 4.911514429934447 	 3 	 0.0	3.0	2.0	0	1	-1	-1	-0.0	-999	-999	2.9236 	3.9831 	4.7264 	6.4255 	-999	-999	-999	-999	-999	1.978 	3.2662 	3.8965 	5.7565 	-999	-999	-999	-999	-999	2.8379 	4.185 	5.6405 	-999	-999	-999	-999	-999	-999	3	0	0
70	a99	b	circle	8	0.1	1	115	3 	 3.833213845620811 	 2 	 2.0	3.0	-999.0	0	1	-1	-1	0.0	-999	-999	2.2058 	2.87 	4.3674 	-999	-999	-999	-999	-999	-999	3.1072 	4.4681 	-999	-999	-999	-999	-999	-999	-999	2.9749 	3.6276 	4.6707 	-999	-999	-999	-999	-999	-999	1	0	0
71	a99	b	circle	8	0.02	-1	104	3 	 3.2863734643687357 	 2 	 1.0	3.0	5.0	2	-1	1	-1	-999	-999	-0.0	2.3957 	4.2945 	-999	-999	-999	-999	-999	-999	-999	2.0847 	2.7537 	4.0326 	-999	-999	-999	-999	-999	-999	2.1168 	3.2401 	3.8893 	-999	-999	-999	-999	-999	-999	5	0	0
72	a99	b	circle	8	0.2914062499999943	1	102	3 	 5.261573252848573 	 3 	 6.0	7.0	3.0	2	1	-1	-1	-999	-999	0.0	2.0293 	2.827 	3.3786 	5.2674 	6.8861 	-999	-999	-999	-999	2.2486 	3.7515 	5.2574 	7.1951 	-999	-999	-999	-999	-999	2.9485 	3.536 	5.4569 	7.0475 	-999	-999	-999	-999	-999	4	0	0
73	a99	b	circle	8	0.2914062499999943	1	123	0 	 3.9168317154679686 	 3 	 1.0	0.0	2.0	2	1	-1	-1	-999	-999	-1.0	2.2387 	3.4086 	3.9533 	5.338 	-999	-999	-999	-999	-999	1.8355 	2.9773 	4.7579 	-999	-999	-999	-999	-999	-999	2.4636 	3.0924 	3.6113 	4.2999 	-999	-999	-999	-999	-999	3	0	0
74	a99	b	circle	4	0.9414062500000142	1	94	3 	 4.299411327060393 	 2 	 3.0	3.0	2.0	1	1	-1	-1	-999	0.0	-999	2.873 	4.4321 	5.5015 	-999	-999	-999	-999	-999	-999	1.882 	3.1365 	4.1257 	6.0334 	-999	-999	-999	-999	-999	2.6267 	3.2161 	4.6671 	-999	-999	-999	-999	-999	-999	2	0	0
75	a99	b	circle	4	0.9414062500000142	-1	125	0 	 3.232219671921752 	 2 	 3.0	0.0	3.0	2	-1	1	-1	-999	-999	1.0	1.9542 	3.3038 	4.4005 	-999	-999	-999	-999	-999	-999	2.5076 	3.2585 	3.9415 	-999	-999	-999	-999	-999	-999	2.9171 	4.9071 	-999	-999	-999	-999	-999	-999	-999	2	0	0
76	a99	b	circle	4	0.02	-1	108	3 	 4.730706409908025 	 3 	 1.0	2.0	0.0	1	-1	1	-1	-999	-0.0	-999	2.0123 	3.3105 	4.4845 	5.4864 	-999	-999	-999	-999	-999	2.1694 	3.2008 	4.6684 	5.302 	-999	-999	-999	-999	-999	2.8754 	3.5765 	5.351 	-999	-999	-999	-999	-999	-999	2	0	0
77	a99	b	circle	8	0.19140625	-1	94	3 	 4.269336895558856 	 3 	 4.0	4.0	7.0	2	-1	1	-1	-999	-999	0.0	1.7326 	3.4052 	4.4576 	5.0304 	-999	-999	-999	-999	-999	1.7314 	3.0337 	4.9463 	-999	-999	-999	-999	-999	-999	2.2756 	3.6432 	4.3271 	5.7463 	-999	-999	-999	-999	-999	3	0	0
78	a99	b	circle	4	0.891406250000017	-1	98	0 	 4.864470129090703 	 2 	 1.0	1.0	3.0	1	-1	1	-1	-999	2.0	-999	2.3756 	3.0843 	4.4935 	5.6068 	-999	-999	-999	-999	-999	2.795 	4.7052 	5.6611 	-999	-999	-999	-999	-999	-999	2.1877 	3.7473 	5.1479 	7.1313 	-999	-999	-999	-999	-999	4	0	0
79	a99	b	circle	8	0.19140625	-1	122	3 	 5.593954838215209 	 3 	 7.0	7.0	7.0	0	-1	1	-1	-0.0	-999	-999	3.1361 	5.1196 	5.8506 	7.224 	-999	-999	-999	-999	-999	2.2689 	2.9095 	4.2443 	5.2865 	6.6615 	-999	-999	-999	-999	1.8653 	3.3915 	4.9448 	5.5445 	6.9499 	-999	-999	-999	-999	3	0	0
80	a99	b	circle	8	0.1	1	126	3 	 5.450049811604742 	 3 	 5.0	4.0	0.0	2	1	-1	-1	-999	-999	0.0	2.7161 	3.5709 	5.4372 	7.0136 	-999	-999	-999	-999	-999	3.0471 	5.0043 	5.5585 	7.1679 	-999	-999	-999	-999	-999	2.2015 	3.691 	5.2809 	5.794 	-999	-999	-999	-999	-999	4	0	0
81	a99	b	circle	4	0.5414062500000227	-1	114	0 	 3.435489558549693 	 3 	 0.0	1.0	3.0	2	-1	1	-1	-999	-999	-1.0	2.8651 	4.452 	-999	-999	-999	-999	-999	-999	-999	1.9563 	3.8563 	-999	-999	-999	-999	-999	-999	-999	2.2763 	4.1931 	-999	-999	-999	-999	-999	-999	-999	2	0	0
82	a99	b	circle	8	0.19140625	-1	129	3 	 3.2582046248961363 	 3 	 2.0	7.0	2.0	2	-1	1	-1	-999	-999	-0.0	3.191 	4.9044 	-999	-999	-999	-999	-999	-999	-999	2.3368 	4.0464 	-999	-999	-999	-999	-999	-999	-999	2.5691 	3.3545 	4.3785 	-999	-999	-999	-999	-999	-999	3	0	0
83	a99	b	circle	4	0.8414062500000199	-1	110	3 	 5.026043083234125 	 2 	 3.0	1.0	1.0	2	-1	1	-1	-999	-999	-0.0	1.8468 	3.1623 	4.2302 	5.9844 	-999	-999	-999	-999	-999	2.1816 	2.697 	4.0189 	4.6702 	6.5636 	-999	-999	-999	-999	1.8818 	3.7539 	5.2859 	6.9644 	-999	-999	-999	-999	-999	2	0	0
84	a99	b	circle	8	0.24140624999999716	1	84	3 	 4.2631325292705595 	 3 	 5.0	6.0	4.0	1	1	-1	-1	-999	-0.0	-999	1.9555 	2.4597 	4.367 	5.6325 	-999	-999	-999	-999	-999	2.6711 	4.3193 	4.9196 	-999	-999	-999	-999	-999	-999	3.1913 	5.0514 	-999	-999	-999	-999	-999	-999	-999	4	0	0
85	a99	b	circle	4	0.8414062500000199	1	112	3 	 5.66879506091391 	 2 	 1.0	3.0	3.0	2	1	-1	-1	-999	-999	-0.0	1.731 	2.5398 	3.8156 	4.7309 	5.5391 	6.57 	-999	-999	-999	2.3003 	3.2148 	4.4216 	5.3666 	6.1675 	-999	-999	-999	-999	1.8848 	2.6053 	3.9485 	5.187 	6.1315 	-999	-999	-999	-999	4	0	0
86	a99	b	circle	8	0.24140624999999716	-1	128	3 	 5.218426428732866 	 3 	 1.0	0.0	0.0	1	-1	1	-1	-999	-0.0	-999	1.9497 	2.5295 	4.4088 	5.8505 	-999	-999	-999	-999	-999	2.2524 	3.2089 	4.6831 	5.5444 	-999	-999	-999	-999	-999	2.271 	3.2641 	5.1606 	5.8353 	-999	-999	-999	-999	-999	1	0	0
